Region,Location,ProgAllowed
Prologue: Tutorial,Escape the Nautiloid 1: Learn about the Helm,TRUE
Prologue: Tutorial,Escape the Nautiloid 2: Reach the Helm,TRUE
Prologue: Tutorial,Escape the Nautiloid 3: Connect the transponder,TRUE
Prologue: Tutorial,Rescue the Illithids' Captive 1: Open the pod,TRUE
Prologue: Tutorial,Rescue the Illithids' Captive 2: Talk to Shadowheart,TRUE
Act One: Overground,Explore the Ruins 1: Enter the ruins,TRUE
Act One: Overground,Explore the Ruins 2: Find the hidden sarcophagus,TRUE
Act One: Overground,Explore the Ruins 3: Open the sarcophagus,TRUE
Act One: Overground,Explore the Ruins 4: Talk to Withers,FALSE
Act One: Overground,Free Lae'zel 1: Tieflings resolved,FALSE
Act One: Overground,Free Lae'zel 2: Open Lae'zel's Cage,FALSE
Act One: Overground,Free Lae'zel 3: Recruit Lae'zel,FALSE
Act One: Overground,Find Your Belongings 1: Notice you've been pickpocketed,FALSE
Act One: Overground,Find Your Belongings 2: Learn about the hideout,FALSE
Act One: Overground,Find Your Belongings 3: Enter the hideout,FALSE
Act One: Overground,Find Your Belongings 4: Get your stuff back,FALSE
Act One: Overground,Get Help From Healer Nettie 1: Talk to Nettie,TRUE
Act One: Overground,Get Help From Healer Nettie 2: Talk to Nettie in the library,TRUE
Act One: Overground,Get Help From Healer Nettie 3: Get Poisoned,FALSE
Act One: Overground,Investigate the Beach 1: Cutscene with Mirkon,TRUE
Act One: Overground,Investigate the Beach 2: Mirkon rescued,FALSE
Act One: Overground,Investigate the Beach 3: Harpies defeated,TRUE
Act One: Overground,Investigate the Beach 4: Get the password,FALSE
Act One: Overground,Investigate the Beach 5: Mention the password to Doni,FALSE
Act One: Overground,Investigate the Beach 6: Meet Mol,FALSE
Act One: Overground,Investigate Kagha 1: Note found in Grove,TRUE
Act One: Overground,Investigate Kagha 2: Note found in Swamp,TRUE
Act One: Overground,Investigate Kagha 3: Kagha confronted,TRUE
Act One: Overground,Investigate Kagha 4: Fight the Shadow Druids,TRUE
Act One: Overground,Investigate Kagha 5: Return to Zevlor,TRUE
Act One: Overground,Return the Locket 1: Retrieve the locket,FALSE
Act One: Overground,Return the Locket 2: Return the locket,FALSE
Act One: Overground,Save Arabella 1: Find Arabella,TRUE
Act One: Overground,Save Arabella 2: Save Arabella,FALSE
Act One: Overground,Save Arabella 3: Return to Arabella's Parents,FALSE
Act One: Overground,Save the Goblin Sazza 1: Set Sazza free (one way or another),TRUE
Act One: Overground,Save the Goblin Sazza 2: Get Sazza out of the Emerald Grove,FALSE
Act One: Overground,Save the Goblin Sazza 3: Reach the Goblin Camp,FALSE
Act One: Overground,Save the Goblin Sazza 4: Speak to Sazza and Minthara,FALSE
Act One: Overground,Save the Refugees 1: Reach the Emerald Grove,FALSE
Act One: Overground,Save the Refugees 2: Speak with Kagha,FALSE
Act One: Overground,Save the Refugees 3: Talk to Zevlor after Kagha,FALSE
Act One: Overground,Save the Refugees 4: Defend the grove from the goblins,FALSE
Act One: Overground,Save the Refugees 5: Raid the grove with the goblins,FALSE
Act One: Overground,Save the Refugees 6: Tell Zevlor the tieflings can leave safely,FALSE
Act One: Overground,Save the Refugees 7: Celebrate at Camp,TRUE
Act One: Overground,Defeat the Goblins 1: Enter the Goblin Camp,TRUE
Act One: Overground,Defeat the Goblins 2: Resolve One Goblin Leader,TRUE
Act One: Overground,Defeat the Goblins 3: Resolve Two Goblin Leaders,TRUE
Act One: Overground,Defeat the Goblins 4: Resolve Three Goblin Leaders,TRUE
Act One: Overground,Find Doni 1: Find Doni,FALSE
Act One: Overground,Find Doni 2: Return to Rikka,FALSE
Act One: Overground,Kill Kagha 1: Kill Kagha,FALSE
Act One: Overground,Kill Kagha 2: Kill all other hostile druids,FALSE
Act One: Overground,Kill Kagha 3: Return to Zevlor,FALSE
Act One: Overground,Raid the Emerald Grove 1: Speak with Minthara,FALSE
Act One: Overground,Raid the Emerald Grove 2: Interrogate the prisoner,FALSE
Act One: Overground,Raid the Emerald Grove 3: Give Minthara the location of the grove,FALSE
Act One: Overground,Raid the Emerald Grove 4: Commit to one side or the other,FALSE
Act One: Overground,Raid the Emerald Grove 5: Blow the Horn,FALSE
Act One: Overground,Raid the Emerald Grove 6: Defeat one side or the other,FALSE
Act One: Overground,Raid the Emerald Grove 7: Return to Zevlor/Asharak/Cerys/Minthara,FALSE
Act One: Overground,Raid the Emerald Grove 8: Defeat one side or the other,FALSE
Act One: Overground,Raid the Emerald Grove 9: Return to Zevlor/Asharak/Cerys/Minthara,FALSE
Act One: Overground,Save the First Druid 1: Save Halsin,FALSE
Act One: Overground,Save the First Druid 2: Get Halsin back to the Grove,FALSE
Act One: Overground,Save the First Druid 3: Talk to Halsin in the Grove,FALSE
Act One: Overground,Save the First Druid 4: Speak with Rath,FALSE
Act One: Overground,Steal the Sacred Idol 1: Steal the druid's idol,FALSE
Act One: Overground,Steal the Sacred Idol 2: Kill the druids,FALSE
Act One: Overground,Steal the Sacred Idol 3: Give the Idol of Silvanus to Mol,FALSE
Act One: Overground,Destroy the Ancient Tome 1: Destroy the Ancient Tome,FALSE
Act One: Overground,Search the Cellar 1: Find the cellar,TRUE
Act One: Overground,Search the Cellar 2: Find the Necromancy of Thay,TRUE
Act One: Overground,Rescue the Gnome 1: Approach the goblins,TRUE
Act One: Overground,Rescue the Gnome 2: Get rid of the goblins,TRUE
Act One: Overground,Rescue the Gnome 3: Stop the windmill,FALSE
Act One: Overground,Rescue the Gnome 4: Untie the gnome,FALSE
Act One: Overground,Unlock the Ancient Tome 1: Combine the gem with the Ancient Tome,TRUE
Act One: Overground,Unlock the Ancient Tome 2: Read the Ancient Tome,TRUE
Act One: Overground,Finish the Masterwork Weapon 1: Find the blueprints,TRUE
Act One: Underdark,Finish the Masterwork Weapon 2: Find a Sussur Tree,TRUE
Act One: Underdark,Finish the Masterwork Weapon 3: Take some bark from the Susser Tree,TRUE
Act One: Underdark,Finish the Masterwork Weapon 4: Forge a weapon,TRUE
Act One: Overground,Get Help from Auntie Ethel 1: Let Auntie Ethel remove an eye,FALSE
Act One: Overground,Save Mayrina 1: Get Auntie Ethel to disappear Mayrina,TRUE
Act One: Overground,Save Mayrina 2: Find Auntie Ethel in her lair,FALSE
Act One: Overground,Save Mayrina 3: Defeat Auntie Ethel,TRUE
Act One: Overground,Save Mayrina 4: Speak with Mayrina,FALSE
Act One: Overground,Save Mayrina 5: Find the wand,FALSE
Act One: Overground,Save Mayrina 6: Bring the wand to Mayrina,FALSE
Act One: Overground,Save Mayrina 7: Make the choice of what to do with Connor,FALSE
Act One: Overground,Hunt the Devil 1: Find Karlach,TRUE
Act One: Overground,Hunt the Devil 2: Recruit or Kill Karlach,TRUE
Act One: Overground,Hunt the Devil 3: Talk to Anders after Karlach,TRUE
Act One: Overground,Hunt the Devil 4: Kill Zariel's followers,TRUE
Act One: Overground,Find the Missing Shipment 1: Find the remains of the wagon,TRUE
Act One: Overground,Find the Missing Shipment 2: Find the gnolls,TRUE
Act One: Overground,Find the Missing Shipment 3: Kill the gnolls,TRUE
Act One: Overground,Find the Missing Shipment 4: Kill or speak with the survivors,TRUE
Act One: Overground,"Find the Missing Shipment 5: Take the chest, open it, or leave it with the survivors",TRUE
Act One: Overground,Find the Missing Shipment 6: Enter the Zhentarim hideout,TRUE
